,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
164,0.48800001,SDN,SubSaharian,,,,,,8.4287748336792
186,0.91799998,USA,WesternDem,47769.699,318.7890014648438,6.0,8.8199997,18.1,17.14075469970703
44,0.773,CUB,LatAm,5899.9399,,,4.3699999,36.099998,11.05880069732666
124,0.64200002,NIC,LatAm,2527.1001,5.946000099182129,20.60000038146973,3.55,,9.040139198303224
118,0.63700002,NAM,SubSaharian,4521.29,,28.29999923706055,7.8400002,23.799999,8.928688049316406
57,0.73400003,FJI,Pacific,3848.72,0.8799999952316284,,,26.5,4.487498760223389
140,0.60299999,TLS,SouthEastAsia,1957.8101,1.146000027656555,47.79999923706055,0.5,,1.475303411483765
66,0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,0.52999997,54.0,10.21295070648193
100,0.84600002,LTU,EastEurope,17559.75,2.931999921798706,4.400000095367432,15.19,30.1,6.552116870880127
73,0.62300003,HND,LatAm,3303.1399,,19.39999961853027,2.8699999,18.9,8.72268009185791
174,0.77899998,TTO,Caribbean,22089.16,1.353999972343445,18.39999961853027,6.9400001,,5.933197021484375
53,0.58200002,GNQ,SubSaharian,15412.43,,,10.72,,3.804079055786133
96,0.82800001,LVA,EastEurope,16583.67,2.000999927520752,7.599999904632568,10.37,35.900002,5.880693435668945
135,0.73699999,PER,LatAm,9227.1504,30.80900001525879,14.10000038146973,5.3800001,,5.473034858703613
105,0.70099998,MDV,SouthAsia,13349.76,0.335999995470047,,1.92,,13.7335205078125
183,0.68800002,EGY,NorthAfrica,5598.2598,86.69999694824219,17.89999961853027,0.20999999,23.799999,5.642115116119385
139,0.421,GNB,SubSaharian,961.26001,,,3.5699999,,5.593137264251709
77,0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,25.79999923706055,0.090000004,38.5,2.84686017036438
76,0.61500001,IND,SouthAsia,4256.79,,43.79999923706055,3.0699999,12.4,4.685088157653809
121,0.92299998,NLD,WesternDem,42258.352,16.86499977111816,3.400000095367432,8.6800003,25.700001,10.89729309082031
146,0.73500001,LCA,Caribbean,11095.8,0.1669999957084656,,9.9700003,,6.719041347503662
156,0.84200001,SVK,EastEurope,21776.34,5.415999889373779,6.300000190734863,10.6,28.799999,8.054047584533691
192,0.49900001,YEM,NorthAfrica,2170.9299,,46.29999923706055,0.039999999,,5.636990070343018
64,0.92400002,DEU,WesternDem,39486.699,80.98300170898438,3.400000095367432,11.03,30.700001,11.29700088500977
190,0.76899999,VEN,LatAm,10513.96,,13.10000038146973,6.4699998,,5.256702423095703
99,0.91100001,LIE,WesternDem,102243.52,,,,,
71,0.63800001,GUY,Caribbean,2042.8199,0.7559999823570251,29.0,7.6399999,,5.247803688049316
2,0.74299997,DZA,NorthAfrica,5402.1699,39.11399841308594,17.20000076293945,0.52999997,,7.207178115844727
